name,typ,node,maxcap,heat_rate,mincap,var_om,no_load,st_cost,ramp,minup,mindn
ID_6076_1,coal,bus_772611,358.0,9.75,161.67,6.95,1074.0,46182.0,15.32,12.0,12.0
ID_6076_2,coal,bus_772611,358.0,9.75,161.67,6.95,1074.0,46182.0,15.32,12.0,12.0
ID_6089_1,coal,bus_770011,50.0,9.75,22.58,6.95,150.0,6450.0,2.14,12.0,12.0
ID_6516_IC1,oil,bus_606631,2.0,9.96,0.7,3.42,6.0,60.0,1.24,1.0,1.0
ID_7368_1,geothermal,bus_204901,55.0,9.54,6.03,0.0,165.0,0.0,9.68,6.0,6.0
ID_7368_2,geothermal,bus_204901,55.0,9.54,6.03,0.0,165.0,0.0,9.68,6.0,6.0
ID_7369_3,geothermal,bus_204901,55.0,9.54,6.03,0.0,165.0,0.0,9.68,6.0,6.0
ID_7369_4,geothermal,bus_204901,55.0,9.54,6.03,0.0,165.0,0.0,9.68,6.0,6.0
ID_10018_GEN2,geothermal,bus_300011,15.0,9.54,1.65,0.0,45.0,0.0,2.64,6.0,6.0
ID_10018_OEC2,geothermal,bus_300011,11.0,9.54,1.21,0.0,33.0,0.0,1.94,6.0,6.0
ID_10090_GEN1,biomass,bus_256751,12.0,13.5,4.11,5.41,36.0,144.0,11.19,7.0,7.0
ID_10115_GEN1,ngcc,bus_285491,0.8,8.037,0.35,3.42,2.0,38.0,0.39,1.0,3.0
ID_10115_GEN2,ngcc,bus_285491,0.8,8.037,0.35,3.42,2.0,38.0,0.39,1.0,3.0
ID_10199_WFF1,geothermal,bus_204901,19.0,9.54,2.08,0.0,57.0,0.0,3.34,6.0,6.0
ID_10199_WFF2,geothermal,bus_204901,19.0,9.54,2.08,0.0,57.0,0.0,3.34,6.0,6.0
ID_10287_GEN1,geothermal,bus_741041,17.0,9.54,1.86,0.0,51.0,0.0,2.99,6.0,6.0
ID_10287_GEN2,geothermal,bus_741041,3.6,9.54,0.39,0.0,11.0,0.0,0.63,6.0,6.0
ID_10471_GEN1,biomass,bus_257141,10.6,13.5,3.63,5.41,32.0,127.0,9.89,7.0,7.0
ID_10472_GEN3,biomass,bus_255951,3.3,13.5,1.13,5.41,10.0,40.0,3.08,7.0,7.0
ID_10472_GEN4,biomass,bus_255951,3.3,13.5,1.13,5.41,10.0,40.0,3.08,7.0,7.0
ID_10472_GEN5,biomass,bus_255951,3.3,13.5,1.13,5.41,10.0,40.0,3.08,7.0,7.0
ID_10478_GEN1,ngcc,bus_262011,20.9,8.037,9.23,3.42,63.0,1003.0,10.17,1.0,3.0
ID_10478_GEN2,ngcc,bus_262011,7.4,8.037,3.27,3.42,22.0,355.0,3.6,1.0,3.0
ID_10479_T101,geothermal,bus_232301,5.0,9.54,0.55,0.0,15.0,0.0,0.88,6.0,6.0
ID_10479_T102,geothermal,bus_232301,5.0,9.54,0.55,0.0,15.0,0.0,0.88,6.0,6.0
ID_10479_T103,geothermal,bus_232301,5.0,9.54,0.55,0.0,15.0,0.0,0.88,6.0,6.0
ID_10480_GEN1,geothermal,bus_232301,5.0,9.54,0.55,0.0,15.0,0.0,0.88,6.0,6.0
ID_10480_GEN2,geothermal,bus_232301,5.0,9.54,0.55,0.0,15.0,0.0,0.88,6.0,6.0
ID_10481_1,geothermal,bus_232301,5.0,9.54,0.55,0.0,15.0,0.0,0.88,6.0,6.0
ID_10481_2,geothermal,bus_232301,5.0,9.54,0.55,0.0,15.0,0.0,0.88,6.0,6.0
ID_10481_3,geothermal,bus_232301,5.0,9.54,0.55,0.0,15.0,0.0,0.88,6.0,6.0
ID_10481_T101,geothermal,bus_232301,5.0,9.54,0.55,0.0,15.0,0.0,0.88,6.0,6.0
ID_10481_T102,geothermal,bus_232301,5.0,9.54,0.55,0.0,15.0,0.0,0.88,6.0,6.0
ID_10481_T103,geothermal,bus_232301,5.0,9.54,0.55,0.0,15.0,0.0,0.88,6.0,6.0
ID_10502_GEN1,biomass,bus_230541,23.0,13.5,7.88,5.41,69.0,276.0,21.45,7.0,7.0
ID_10631_GEN1,geothermal,bus_286671,35.8,9.54,3.93,0.0,107.0,0.0,6.3,6.0,6.0
ID_10632_GEN1,geothermal,bus_286671,35.8,9.54,3.93,0.0,107.0,0.0,6.3,6.0,6.0
ID_10634_GEN1,geothermal,bus_286671,35.8,9.54,3.93,0.0,107.0,0.0,6.3,6.0,6.0
ID_10635_GEN1,ngcc,bus_281221,47.0,8.037,20.76,3.42,141.0,2256.0,22.87,1.0,3.0
ID_10748_U3J98,biomass,bus_230171,1.0,13.5,0.34,5.41,3.0,12.0,0.93,7.0,7.0
ID_10748_U4J08,biomass,bus_230171,1.4,13.5,0.48,5.41,4.0,17.0,1.31,7.0,7.0
ID_10759_GEN1,geothermal,bus_286671,53.9,9.54,5.91,0.0,162.0,0.0,9.49,6.0,6.0
ID_10763_GBU,geothermal,bus_400041,8.0,9.54,0.88,0.0,24.0,0.0,1.41,6.0,6.0
ID_10763_GEN1,geothermal,bus_400041,21.6,9.54,2.37,0.0,65.0,0.0,3.8,6.0,6.0
ID_10810_GEN1,ngcc,bus_285491,23.0,8.037,10.16,3.42,69.0,1104.0,11.19,1.0,3.0
ID_10810_GEN2,ngcc,bus_285491,2.6,8.037,1.15,3.42,8.0,125.0,1.27,1.0,3.0
ID_10811_GEN1,ngcc,bus_285491,38.4,8.037,16.96,3.42,115.0,1843.0,18.69,1.0,3.0
ID_10811_GEN2,ngcc,bus_285491,11.6,8.037,5.12,3.42,35.0,557.0,5.64,1.0,3.0
ID_10811_GEN3,ngcc,bus_285491,5.2,8.037,2.3,3.42,16.0,250.0,2.53,1.0,3.0
ID_10812_GEN1,ngcc,bus_285491,36.3,8.037,16.03,3.42,109.0,1742.0,17.66,1.0,3.0
ID_10812_GEN2,ngcc,bus_285491,4.0,8.037,1.77,3.42,12.0,192.0,1.95,1.0,3.0
ID_10873_GEN1,geothermal,bus_261161,32.2,9.54,3.53,0.0,97.0,0.0,5.67,6.0,6.0
ID_10873_GEN2,geothermal,bus_261161,30.0,9.54,3.29,0.0,90.0,0.0,5.28,6.0,6.0
ID_10873_GEN3,geothermal,bus_261161,30.0,9.54,3.29,0.0,90.0,0.0,5.28,6.0,6.0
ID_10874_GEN4,geothermal,bus_261161,30.0,9.54,3.29,0.0,90.0,0.0,5.28,6.0,6.0
ID_10874_GEN5,geothermal,bus_261161,30.0,9.54,3.29,0.0,90.0,0.0,5.28,6.0,6.0
ID_10874_GEN6,geothermal,bus_261161,30.0,9.54,3.29,0.0,90.0,0.0,5.28,6.0,6.0
ID_10875_GEN7,geothermal,bus_261161,30.0,9.54,3.29,0.0,90.0,0.0,5.28,6.0,6.0
ID_10875_GEN8,geothermal,bus_261161,30.0,9.54,3.29,0.0,90.0,0.0,5.28,6.0,6.0
ID_10875_GEN9,geothermal,bus_261161,30.0,9.54,3.29,0.0,90.0,0.0,5.28,6.0,6.0
ID_10878_EE11,geothermal,bus_286671,10.0,9.54,1.1,0.0,30.0,0.0,1.76,6.0,6.0
ID_10879_GEN1,geothermal,bus_286671,11.5,9.54,1.26,0.0,34.0,0.0,2.02,6.0,6.0
ID_10879_GEN2,geothermal,bus_286671,5.0,9.54,0.55,0.0,15.0,0.0,0.88,6.0,6.0
ID_10879_GEN3,geothermal,bus_286671,3.5,9.54,0.38,0.0,10.0,0.0,0.62,6.0,6.0
ID_50066_UNT1,geothermal,bus_204901,88.2,9.54,9.68,0.0,265.0,0.0,15.52,6.0,6.0
ID_50066_UNT2,geothermal,bus_204901,88.2,9.54,9.68,0.0,265.0,0.0,15.52,6.0,6.0
ID_50112_GEN1,biomass,bus_300011,20.0,13.5,6.85,5.41,60.0,240.0,18.65,7.0,7.0
ID_50112_GEN2,biomass,bus_300011,7.5,13.5,2.57,5.41,22.0,90.0,6.99,7.0,7.0
ID_50210_GEN1,geothermal,bus_286671,30.1,9.54,3.3,0.0,90.0,0.0,5.3,6.0,6.0
ID_50210_GEN2,geothermal,bus_286671,9.5,9.54,1.04,0.0,28.0,0.0,1.67,6.0,6.0
ID_50544_GEN4,biomass,bus_102281,3.0,13.5,1.03,5.41,9.0,36.0,2.8,7.0,7.0
ID_50654_GEN1,geothermal,bus_300011,14.6,9.54,1.6,0.0,44.0,0.0,2.57,6.0,6.0
ID_50654_OEC41,geothermal,bus_300011,5.5,9.54,0.6,0.0,16.0,0.0,0.97,6.0,6.0
ID_50762_OE11,geothermal,bus_400041,1.2,9.54,0.13,0.0,4.0,0.0,0.21,6.0,6.0
ID_50762_OE12,geothermal,bus_400041,1.2,9.54,0.13,0.0,4.0,0.0,0.21,6.0,6.0
ID_50762_OE14,geothermal,bus_400041,1.2,9.54,0.13,0.0,4.0,0.0,0.21,6.0,6.0
ID_50762_OE15,geothermal,bus_400041,1.2,9.54,0.13,0.0,4.0,0.0,0.21,6.0,6.0
ID_50762_OE21,geothermal,bus_400041,1.2,9.54,0.13,0.0,4.0,0.0,0.21,6.0,6.0
ID_50762_OE22,geothermal,bus_400041,1.2,9.54,0.13,0.0,4.0,0.0,0.21,6.0,6.0
ID_50762_OE24,geothermal,bus_400041,1.2,9.54,0.13,0.0,4.0,0.0,0.21,6.0,6.0
ID_50762_OE25,geothermal,bus_400041,1.2,9.54,0.13,0.0,4.0,0.0,0.21,6.0,6.0
ID_50763_OE11,geothermal,bus_300011,1.2,9.54,0.13,0.0,4.0,0.0,0.21,6.0,6.0
ID_50763_OE12,geothermal,bus_300011,1.2,9.54,0.13,0.0,4.0,0.0,0.21,6.0,6.0
ID_50763_OE13,geothermal,bus_300011,1.2,9.54,0.13,0.0,4.0,0.0,0.21,6.0,6.0
ID_50763_OE14,geothermal,bus_300011,1.2,9.54,0.13,0.0,4.0,0.0,0.21,6.0,6.0
ID_50763_OE21,geothermal,bus_300011,1.2,9.54,0.13,0.0,4.0,0.0,0.21,6.0,6.0
ID_50763_OE22,geothermal,bus_300011,1.2,9.54,0.13,0.0,4.0,0.0,0.21,6.0,6.0
ID_50763_OE23,geothermal,bus_300011,1.2,9.54,0.13,0.0,4.0,0.0,0.21,6.0,6.0
ID_50765_11,geothermal,bus_300011,11.8,9.54,1.29,0.0,35.0,0.0,2.08,6.0,6.0
ID_50765_12,geothermal,bus_300011,11.8,9.54,1.29,0.0,35.0,0.0,2.08,6.0,6.0
ID_50765_21,geothermal,bus_300011,11.8,9.54,1.29,0.0,35.0,0.0,2.08,6.0,6.0
ID_50765_22,geothermal,bus_300011,11.8,9.54,1.29,0.0,35.0,0.0,2.08,6.0,6.0
ID_50766_ITLU1,geothermal,bus_400041,12.0,9.54,1.32,0.0,36.0,0.0,2.11,6.0,6.0
ID_50766_ITLU2,geothermal,bus_400041,12.0,9.54,1.32,0.0,36.0,0.0,2.11,6.0,6.0
ID_50766_OE31,geothermal,bus_400041,1.2,9.54,0.13,0.0,4.0,0.0,0.21,6.0,6.0
ID_50766_OE32,geothermal,bus_400041,1.2,9.54,0.13,0.0,4.0,0.0,0.21,6.0,6.0
ID_50964_IND,geothermal,bus_300011,1.5,9.54,0.16,0.0,4.0,0.0,0.26,6.0,6.0
ID_50964_SYN,geothermal,bus_300011,1.5,9.54,0.16,0.0,4.0,0.0,0.26,6.0,6.0
ID_50997_GEN1,ngcc,bus_406911,3.0,8.037,1.33,3.42,9.0,144.0,1.46,1.0,3.0
ID_50997_GEN2,ngcc,bus_406911,3.0,8.037,1.33,3.42,9.0,144.0,1.46,1.0,3.0
ID_52015_GEN1,geothermal,bus_300011,60.5,9.54,6.64,0.0,182.0,0.0,10.65,6.0,6.0
ID_52115_GEN1,ngcc,bus_230541,2.8,8.037,1.24,3.42,8.0,134.0,1.36,1.0,3.0
ID_52138_DE31,geothermal,bus_300011,1.2,9.54,0.13,0.0,4.0,0.0,0.21,6.0,6.0
ID_52138_DE32,geothermal,bus_300011,1.2,9.54,0.13,0.0,4.0,0.0,0.21,6.0,6.0
ID_52158_GEN1,geothermal,bus_204901,12.5,9.54,1.37,0.0,38.0,0.0,2.2,6.0,6.0
ID_52158_GEN2,geothermal,bus_204901,12.5,9.54,1.37,0.0,38.0,0.0,2.2,6.0,6.0
ID_52174_OE11,geothermal,bus_300011,1.2,9.54,0.13,0.0,4.0,0.0,0.21,6.0,6.0
ID_52174_OE12,geothermal,bus_300011,1.2,9.54,0.13,0.0,4.0,0.0,0.21,6.0,6.0
ID_52174_OE13,geothermal,bus_300011,1.2,9.54,0.13,0.0,4.0,0.0,0.21,6.0,6.0
ID_52174_OE21,geothermal,bus_300011,1.5,9.54,0.16,0.0,4.0,0.0,0.26,6.0,6.0
ID_52174_OEC1,geothermal,bus_300011,3.5,9.54,0.38,0.0,10.0,0.0,0.62,6.0,6.0
ID_52174_OEC2,geothermal,bus_300011,3.5,9.54,0.38,0.0,10.0,0.0,0.62,6.0,6.0
ID_52174_OEC3,geothermal,bus_300011,3.5,9.54,0.38,0.0,10.0,0.0,0.62,6.0,6.0
ID_52174_OEC4,geothermal,bus_300011,3.5,9.54,0.38,0.0,10.0,0.0,0.62,6.0,6.0
ID_52174_OEC5,geothermal,bus_300011,3.5,9.54,0.38,0.0,10.0,0.0,0.62,6.0,6.0
ID_52174_OEC6,geothermal,bus_300011,3.5,9.54,0.38,0.0,10.0,0.0,0.62,6.0,6.0
ID_54038_GEN1,geothermal,bus_400041,21.6,9.54,2.37,0.0,65.0,0.0,3.8,6.0,6.0
ID_54111_GE10,geothermal,bus_400011,4.5,9.54,0.49,0.0,14.0,0.0,0.79,6.0,6.0
ID_54111_GE11,geothermal,bus_400011,4.5,9.54,0.49,0.0,14.0,0.0,0.79,6.0,6.0
ID_54111_GE12,geothermal,bus_400011,4.5,9.54,0.49,0.0,14.0,0.0,0.79,6.0,6.0
ID_54111_GE13,geothermal,bus_400011,16.0,9.54,1.76,0.0,48.0,0.0,2.82,6.0,6.0
ID_54111_GEN1,geothermal,bus_400011,3.5,9.54,0.38,0.0,10.0,0.0,0.62,6.0,6.0
ID_54111_GEN14,geothermal,bus_400011,16.0,9.54,1.76,0.0,48.0,0.0,2.82,6.0,6.0
ID_54111_GEN2,geothermal,bus_400011,3.5,9.54,0.38,0.0,10.0,0.0,0.62,6.0,6.0
ID_54111_GEN3,geothermal,bus_400011,3.5,9.54,0.38,0.0,10.0,0.0,0.62,6.0,6.0
ID_54111_GEN4,geothermal,bus_400011,3.5,9.54,0.38,0.0,10.0,0.0,0.62,6.0,6.0
ID_54111_GEN5,geothermal,bus_400011,3.5,9.54,0.38,0.0,10.0,0.0,0.62,6.0,6.0
ID_54111_GEN6,geothermal,bus_400011,3.5,9.54,0.38,0.0,10.0,0.0,0.62,6.0,6.0
ID_54111_GEN7,geothermal,bus_400011,4.5,9.54,0.49,0.0,14.0,0.0,0.79,6.0,6.0
ID_54111_GEN8,geothermal,bus_400011,4.5,9.54,0.49,0.0,14.0,0.0,0.79,6.0,6.0
ID_54111_GEN9,geothermal,bus_400011,4.5,9.54,0.49,0.0,14.0,0.0,0.79,6.0,6.0
