Name,Bus,Fuel,Max_Cap,Min_Cap,Heat_Rate
ID_55835_CTG1,605141,NG (Natural Gas),175.1,77.34,8.037
ID_55835_CTG2,605141,NG (Natural Gas),175.1,77.34,8.037
ID_55835_STG1,605141,NG (Natural Gas),334.9,147.93,8.037
ID_56998_4,606631,NG (Natural Gas),40.0,17.67,8.037
ID_56998_43,606631,NG (Natural Gas),20.0,8.83,8.037
ID_56998_5,606631,NG (Natural Gas),40.0,17.67,8.037
ID_56998_53,606631,NG (Natural Gas),20.0,8.83,8.037
ID_56998_6,606631,NG (Natural Gas),40.0,17.67,8.037
ID_56998_7,606631,NG (Natural Gas),40.0,17.67,8.037
ID_469_5,605141,NG (Natural Gas),185.3,81.85,8.037
ID_469_6,605141,NG (Natural Gas),185.3,81.85,8.037
ID_469_7,605141,NG (Natural Gas),255.0,112.63,8.037
ID_511_3,605771,NG (Natural Gas),1.9,0.84,8.037
ID_511_4,605771,NG (Natural Gas),1.9,0.84,8.037
ID_8067_1,601941,NG (Natural Gas),50.4,22.26,8.037
ID_8067_2,601941,NG (Natural Gas),50.4,22.26,8.037
ID_464_CT1,530021,NG (Natural Gas),26.6,11.75,8.037
ID_471_1,600031,NG (Natural Gas),26.6,11.75,8.037
ID_477_6,601941,NG (Natural Gas),59.3,26.19,8.037
ID_464_CT2,530021,NG (Natural Gas),26.6,11.75,8.037
ID_10682_GT2,605141,NG (Natural Gas),23.8,10.51,8.037
ID_54630_T1,601941,NG (Natural Gas),2.8,1.24,8.037
ID_54630_T2,601941,NG (Natural Gas),3.6,1.59,8.037
ID_50709_GEN1,601941,NG (Natural Gas),37.0,16.34,8.037
ID_8219_GT1,606631,NG (Natural Gas),37.8,16.7,8.037
ID_8219_GT2,606631,NG (Natural Gas),37.8,16.7,8.037
ID_55127_UN1,605141,NG (Natural Gas),150.0,66.26,8.037
ID_55127_UN2,605141,NG (Natural Gas),150.0,66.26,8.037
ID_55207_UN7,601941,NG (Natural Gas),71.1,31.4,8.037
ID_55207_UN8,601941,NG (Natural Gas),71.1,31.4,8.037
ID_55453_S1,606631,NG (Natural Gas),38.0,16.78,8.037
ID_55453_S2,606631,NG (Natural Gas),38.0,16.78,8.037
ID_55453_S3,606631,NG (Natural Gas),38.0,16.78,8.037
ID_55453_S4,606631,NG (Natural Gas),38.0,16.78,8.037
ID_55453_S5,606631,NG (Natural Gas),38.0,16.78,8.037
ID_55453_S6,606631,NG (Natural Gas),38.0,16.78,8.037
ID_6761_A,601941,NG (Natural Gas),89.3,39.44,8.037
ID_6761_B,601941,NG (Natural Gas),89.3,39.44,8.037
ID_6761_C,601941,NG (Natural Gas),89.3,39.44,8.037
ID_55504_L1,605141,NG (Natural Gas),77.1,34.06,8.037
ID_55504_L2,605141,NG (Natural Gas),77.1,34.06,8.037
ID_55505_BR1,605141,NG (Natural Gas),77.1,34.06,8.037
ID_55505_BR2,605141,NG (Natural Gas),77.1,34.06,8.037
ID_55650_GE10,601941,NG (Natural Gas),5.7,2.52,8.037
ID_55650_GE11,601941,NG (Natural Gas),5.7,2.52,8.037
ID_55650_GE12,601941,NG (Natural Gas),5.7,2.52,8.037
ID_55650_GE13,601941,NG (Natural Gas),5.7,2.52,8.037
ID_55650_GE14,601941,NG (Natural Gas),5.7,2.52,8.037
ID_55650_GE15,601941,NG (Natural Gas),5.7,2.52,8.037
ID_55650_GE16,601941,NG (Natural Gas),5.7,2.52,8.037
ID_55650_GE17,601941,NG (Natural Gas),5.7,2.52,8.037
ID_55650_GE18,601941,NG (Natural Gas),5.7,2.52,8.037
ID_55650_GE19,601941,NG (Natural Gas),5.7,2.52,8.037
ID_55650_GE20,601941,NG (Natural Gas),5.7,2.52,8.037
ID_55650_GEN1,601941,NG (Natural Gas),5.7,2.52,8.037
ID_55650_GEN2,601941,NG (Natural Gas),5.7,2.52,8.037
ID_55650_GEN3,601941,NG (Natural Gas),5.7,2.52,8.037
ID_55650_GEN4,601941,NG (Natural Gas),5.7,2.52,8.037
ID_55650_GEN5,601941,NG (Natural Gas),5.7,2.52,8.037
ID_55650_GEN6,601941,NG (Natural Gas),5.7,2.52,8.037
ID_55650_GEN7,601941,NG (Natural Gas),5.7,2.52,8.037
ID_55650_GEN8,601941,NG (Natural Gas),5.7,2.52,8.037
ID_55650_GEN9,601941,NG (Natural Gas),5.7,2.52,8.037
ID_55645_CT01,605141,NG (Natural Gas),198.9,87.85,8.037
ID_55645_CT02,605141,NG (Natural Gas),198.9,87.85,8.037
ID_6761_D,601941,NG (Natural Gas),89.3,39.44,8.037
ID_56445_GEN1,601941,NG (Natural Gas),197.0,87.01,8.037
ID_56445_GEN2,601941,NG (Natural Gas),197.0,87.01,8.037
ID_6761_F,601941,NG (Natural Gas),149.6,66.08,8.037
ID_56516_2G01,601941,NG (Natural Gas),8.4,3.71,8.037
ID_56516_2G02,601941,NG (Natural Gas),8.4,3.71,8.037
ID_56516_2G03,601941,NG (Natural Gas),8.4,3.71,8.037
ID_56516_2G04,601941,NG (Natural Gas),8.4,3.71,8.037
ID_56516_2G05,601941,NG (Natural Gas),8.4,3.71,8.037
ID_56516_2G06,601941,NG (Natural Gas),8.4,3.71,8.037
ID_56516_2G07,601941,NG (Natural Gas),8.4,3.71,8.037
ID_56516_2G08,601941,NG (Natural Gas),8.4,3.71,8.037
ID_56516_2G09,601941,NG (Natural Gas),8.4,3.71,8.037
ID_56516_2G10,601941,NG (Natural Gas),8.4,3.71,8.037
ID_56516_2G11,601941,NG (Natural Gas),8.4,3.71,8.037
ID_56516_2G12,601941,NG (Natural Gas),8.4,3.71,8.037
ID_56516_2G13,601941,NG (Natural Gas),8.4,3.71,8.037
ID_56516_2G14,601941,NG (Natural Gas),8.4,3.71,8.037
ID_6112_5,601941,NG (Natural Gas),140.3,61.97,8.037
ID_6112_6,601941,NG (Natural Gas),140.3,61.97,8.037
ID_56998_GT1,606631,NG (Natural Gas),100.0,44.17,8.037
ID_56998_GT2,606631,NG (Natural Gas),100.0,44.17,8.037
ID_493_1,606631,NG (Natural Gas),17.3,7.64,8.037
ID_493_2,606631,NG (Natural Gas),18.8,8.3,8.037
